,start_passe,end_passe,x,y,end_x,end_y,player_start,player_end,team_start,team_end,successful
1,63,164,65.69246,31.726149,17.102715,37.858665,"('0', '1')","('1', '9')",0,1,False
5,555,634,21.31627,49.53084,58.898083,54.56264,"('1', '10')","('0', '6')",1,0,False
6,556,634,21.494547,49.634747,58.898083,54.56264,"('1', '10')","('0', '6')",1,0,False
8,777,879,40.987656,43.93672,12.214892,38.809246,"('1', '0')","('1', '10')",1,1,True
9,822,879,29.93787,33.39663,12.214892,38.809246,"('1', '2')","('1', '10')",1,1,True
11,991,1023,11.442646,39.60296,17.427176,27.671291,"('1', '10')","('1', '9')",1,1,True
12,1088,1126,20.48915,22.832703,27.82546,4.1138062,"('1', '9')","('1', '2')",1,1,True
13,1187,1239,31.444216,2.755347,54.345047,9.826233,"('1', '2')","('0', '1')",1,0,False
14,1246,1287,55.543133,10.271044,44.278004,11.074716,"('0', '1')","('1', '1')",0,1,False
15,1331,1354,41.95033,11.454072,42.787216,16.572592,"('1', '1')","('1', '0')",1,1,True
16,1465,1525,33.67021,27.650772,64.11738,34.494804,"('1', '9')","('0', '8')",1,0,False
17,1527,1579,64.47989,34.632805,54.191383,48.141926,"('0', '8')","('1', '6')",0,1,False
21,2100,2158,52.8027,68.717896,33.102135,55.6361,"('0', '9')","('0', '10')",0,0,True
22,2221,2332,25.54403,50.27195,34.492123,53.911354,"('1', '3')","('0', '10')",1,0,False
23,2279,2332,51.157585,46.18262,34.492123,53.911354,"('0', '1')","('0', '10')",0,0,True
25,2409,2449,30.33501,58.818687,39.378983,66.31109,"('1', '5')","('1', '6')",1,1,True
26,2597,2653,46.378075,69.44448,36.304977,54.249874,"('0', '9')","('1', '1')",0,1,False
27,2658,2713,36.23958,54.889374,46.08899,72.50132,"('1', '1')","('0', '9')",1,0,False
30,3084,3139,50.295315,68.845535,30.011946,61.29628,"('0', '9')","('1', '0')",0,1,False
31,3088,3139,49.22652,68.71318,30.011946,61.29628,"('0', '9')","('1', '0')",0,1,False
37,3600,3699,36.760227,69.24327,13.691074,39.567047,"('0', '9')","('1', '2')",0,1,False
40,3935,3937,28.177408,57.64053,27.81507,57.14954,"('0', '9')","('0', '6')",0,0,True
41,3986,4012,24.098001,51.14163,34.56696,47.62781,"('1', '1')","('0', '7')",1,0,False
43,4034,4046,35.36852,46.833683,33.178127,49.21143,"('0', '7')","('1', '4')",0,1,False
44,4058,4104,31.686413,50.86523,36.677914,34.532467,"('1', '6')","('1', '8')",1,1,True
45,4145,4185,38.191963,27.33193,51.749596,23.86453,"('0', '4')","('0', '3')",0,0,True
46,4247,4291,58.693077,17.643883,34.25084,10.509361,"('0', '3')","('1', '2')",0,1,False
51,5089,5130,30.773561,5.1275387,23.718025,17.775345,"('1', '9')","('1', '10')",1,1,True
52,5224,5269,21.648891,25.78361,30.212164,9.446514,"('1', '10')","('1', '9')",1,1,True
53,5322,5399,34.094734,6.821584,71.38416,3.9492936,"('1', '9')","('1', '8')",1,1,True
56,5548,5575,83.703445,3.3348398,92.18237,7.719086,"('0', '5')","('0', '1')",0,0,True
57,5642,5744,104.52747,13.79005,65.15384,-2.7362618,"('0', '0')","('1', '2')",0,1,False
58,5882,5905,55.522926,-0.62306195,50.89644,2.995781,"('1', '2')","('1', '9')",1,1,True
62,6218,6245,56.568314,-1.0153763,45.451004,0.28019482,"('0', '3')","('1', '2')",0,1,False
63,6224,6245,54.88596,-0.8622746,45.451004,0.28019482,"('0', '3')","('1', '2')",0,1,False
64,6248,6278,44.792103,0.38204995,51.200394,-1.6993008,"('1', '2')","('0', '3')",1,0,False
65,6413,6432,46.291454,-0.53078115,46.785873,4.662372,"('0', '3')","('0', '5')",0,0,True
66,6437,6461,46.235695,5.1848307,38.848526,4.085718,"('0', '5')","('1', '2')",0,1,False
67,6499,6603,41.68101,3.8067958,75.8341,12.892708,"('1', '2')","('0', '8')",1,0,False
68,6545,6603,53.403976,12.245154,75.8341,12.892708,"('0', '7')","('0', '8')",0,0,True
69,6691,6724,90.70763,16.45238,86.64592,27.051208,"('0', '0')","('0', '8')",0,0,True
70,6794,6867,84.961296,37.868237,79.216255,63.8361,"('0', '8')","('0', '9')",0,0,True
72,6904,6931,81.095314,63.835697,80.153206,52.62863,"('0', '9')","('0', '7')",0,0,True
73,6951,6969,79.8107,52.821327,78.22949,57.29401,"('0', '7')","('1', '0')",0,1,False
74,7056,7073,71.370705,58.07761,65.170364,61.08833,"('1', '0')","('1', '5')",1,1,True
77,7295,7324,51.969303,57.831875,43.88807,46.481915,"('1', '3')","('1', '9')",1,1,True
78,7297,7324,51.42176,56.984367,43.88807,46.481915,"('1', '3')","('1', '9')",1,1,True
79,7392,7427,50.379436,39.46503,68.26049,42.64426,"('1', '9')","('0', '8')",1,0,False
80,7483,7596,66.061264,43.5663,21.900572,26.731157,"('0', '8')","('1', '10')",0,1,False
81,7485,7596,65.48466,43.574818,21.900572,26.731157,"('0', '8')","('1', '10')",0,1,False
82,7608,7729,20.755077,25.371265,61.07368,16.407814,"('1', '10')","('0', '1')",1,0,False
83,7833,7875,59.936127,2.9165733,38.376846,8.378554,"('0', '1')","('0', '10')",0,0,True
84,8033,8080,40.57881,17.378653,67.19221,24.458544,"('1', '9')","('0', '8')",1,0,False
85,8166,8198,71.88356,15.616935,72.79755,7.3768597,"('0', '1')","('0', '3')",0,0,True
86,8217,8279,73.15177,3.7960773,90.426186,13.468966,"('0', '3')","('0', '1')",0,0,True
87,8440,8462,98.11759,20.977177,94.97706,15.032394,"('0', '0')","('0', '1')",0,0,True
88,8534,8577,93.42252,15.918786,96.494995,25.575945,"('0', '1')","('0', '0')",0,0,True
90,8896,8938,96.013054,34.569126,92.85925,50.40768,"('0', '0')","('0', '8')",0,0,True
91,8983,8999,90.82689,54.950283,82.60042,53.36629,"('0', '8')","('1', '7')",0,1,False
92,9001,9085,82.11513,53.241478,78.04725,32.372604,"('1', '7')","('1', '8')",1,1,True
93,9037,9085,72.311066,49.38344,78.04725,32.372604,"('1', '1')","('1', '8')",1,1,True
94,9112,9150,78.443,34.847572,90.17122,38.381775,"('1', '8')","('0', '1')",1,0,False
96,9958,10030,86.69671,41.166782,50.867485,67.23001,"('0', '0')","('0', '9')",0,0,True
97,10083,10130,46.841297,60.41043,57.22347,60.406563,"('1', '1')","('1', '6')",1,1,True
98,10140,10165,59.006676,60.209663,65.96355,59.2796,"('1', '7')","('0', '8')",1,0,False
99,10222,10287,75.58245,57.24352,97.153046,51.343803,"('0', '8')","('0', '0')",0,0,True
100,10289,10394,97.37194,51.268883,51.36191,44.23966,"('0', '0')","('0', '10')",0,0,True
102,10718,10754,67.37969,58.443417,63.483105,56.988495,"('0', '6')","('0', '7')",0,0,True
103,10777,10799,62.253616,56.217697,55.48027,61.22754,"('0', '7')","('1', '5')",0,1,False
105,10811,10844,53.876682,62.733536,59.540028,63.010803,"('1', '5')","('1', '6')",1,1,True
108,11373,11446,60.38547,68.759315,85.31649,52.386257,"('1', '5')","('1', '8')",1,1,True
109,11376,11446,61.028076,68.68287,85.31649,52.386257,"('1', '5')","('1', '8')",1,1,True
110,11635,11672,92.44164,40.934208,89.55417,52.15017,"('0', '0')","('0', '8')",0,0,True
112,11696,11763,89.51537,51.765095,97.661095,32.960377,"('0', '8')","('0', '0')",0,0,True
114,11834,11859,93.50573,21.179895,97.59253,26.476654,"('0', '1')","('0', '0')",0,0,True
115,12053,12103,90.31193,32.96024,89.6047,16.10313,"('0', '0')","('0', '1')",0,0,True
116,12149,12271,88.2058,12.44693,60.166115,14.37791,"('0', '1')","('1', '1')",0,1,False
117,12151,12271,87.139534,12.068254,60.166115,14.37791,"('0', '1')","('1', '1')",0,1,False
118,12344,12389,69.06401,11.964084,65.85889,21.222116,"('1', '1')","('0', '7')",1,0,False
119,12434,12478,63.156334,28.01609,58.820187,53.246647,"('0', '7')","('0', '6')",0,0,True
120,12437,12478,62.670734,29.686554,58.820187,53.246647,"('0', '7')","('0', '6')",0,0,True
121,12549,12572,50.05757,57.604565,44.88779,50.50559,"('0', '6')","('0', '10')",0,0,True
122,12591,12599,42.592983,49.511925,40.118755,50.42585,"('0', '10')","('1', '6')",0,1,False
123,12596,12599,41.493816,49.74027,40.118755,50.42585,"('0', '10')","('1', '6')",0,1,False
124,12601,12644,39.625484,50.672478,25.882208,58.853954,"('1', '6')","('0', '6')",1,0,False
125,12778,12802,13.4645405,58.17811,21.276913,60.76546,"('0', '6')","('0', '9')",0,0,True
126,12838,12885,23.765177,57.249184,2.1208503,38.901573,"('0', '9')","('1', '10')",0,1,False
127,12841,12885,22.618135,56.237785,2.1208503,38.901573,"('1', '6')","('1', '10')",1,1,True
128,12977,13105,8.20124,38.34176,33.09949,5.434903,"('1', '10')","('1', '2')",1,1,True
129,12980,13105,9.066316,37.83055,33.09949,5.434903,"('1', '10')","('1', '2')",1,1,True
130,13170,13211,42.399548,2.6803718,42.975895,16.709467,"('1', '2')","('1', '1')",1,1,True
131,13280,13320,43.10899,19.834227,32.098587,11.360194,"('1', '1')","('1', '9')",1,1,True
132,13383,13435,31.114088,12.803106,22.386675,30.623337,"('1', '9')","('1', '10')",1,1,True
133,13469,13496,21.901543,33.661762,27.934872,45.61257,"('1', '10')","('1', '3')",1,1,True
134,13547,13579,30.556013,45.372032,37.08206,35.241558,"('1', '3')","('1', '1')",1,1,True
135,13549,13579,30.867247,44.9761,37.08206,35.241558,"('1', '3')","('1', '1')",1,1,True
136,13602,13643,37.909657,35.728703,29.965502,45.659206,"('1', '1')","('1', '3')",1,1,True
137,13607,13643,37.217705,36.88529,29.965502,45.659206,"('1', '1')","('1', '3')",1,1,True
138,13685,13709,28.856747,45.361027,37.34919,39.166225,"('1', '3')","('1', '1')",1,1,True
139,13731,13796,37.56485,38.41728,36.11281,16.680573,"('1', '1')","('1', '9')",1,1,True
141,13895,13921,51.17373,16.35536,58.947235,2.1381166,"('1', '9')","('1', '2')",1,1,True
142,13957,14012,60.93283,-0.104352556,79.8161,6.716258,"('1', '2')","('0', '3')",1,0,False
143,14046,14103,85.90462,8.471288,100.12786,20.0734,"('0', '3')","('0', '0')",0,0,True
144,14107,14267,100.19325,19.83793,86.32161,12.208583,"('0', '0')","('0', '1')",0,0,True
145,14229,14267,75.735245,4.7945733,86.32161,12.208583,"('1', '2')","('0', '1')",1,0,False
146,14332,14399,83.12658,14.350894,69.48768,0.7707939,"('1', '8')","('1', '2')",1,1,True
153,14664,14689,65.48915,-0.58716094,56.714222,1.7987869,"('0', '3')","('0', '4')",0,0,True
155,14811,14890,55.95527,5.9677243,80.01977,29.266735,"('0', '4')","('0', '8')",0,0,True
156,14977,15057,86.920746,31.205086,48.635468,11.857362,"('0', '0')","('1', '2')",0,1,False
157,14984,15057,85.23384,30.1102,48.635468,11.857362,"('0', '0')","('1', '2')",0,1,False
158,15184,15210,51.172264,12.513268,40.045914,14.084211,"('1', '1')","('1', '9')",1,1,True
159,15265,15299,37.99549,17.000864,34.977913,31.899824,"('1', '9')","('1', '3')",1,1,True
160,15272,15299,37.32327,19.467815,34.977913,31.899824,"('1', '9')","('1', '3')",1,1,True
162,15351,15387,34.508385,41.465332,38.78052,60.35464,"('1', '3')","('1', '5')",1,1,True
163,15352,15387,34.512268,41.67931,38.78052,60.35464,"('1', '3')","('1', '5')",1,1,True
164,15420,15519,39.203762,62.29727,84.295105,56.17615,"('1', '5')","('0', '8')",1,0,False
165,15422,15519,40.270283,62.498764,84.295105,56.17615,"('1', '5')","('0', '8')",1,0,False
169,15711,15763,94.52351,37.025272,90.52732,53.55146,"('0', '0')","('0', '8')",0,0,True
170,15713,15763,94.233734,37.610107,90.52732,53.55146,"('0', '0')","('0', '8')",0,0,True
171,15795,15844,90.098495,54.851105,98.023865,41.573235,"('0', '8')","('0', '0')",0,0,True
172,15945,15976,94.73317,35.06264,91.53755,26.686401,"('0', '0')","('0', '1')",0,0,True
173,16005,16114,91.09973,26.985815,95.23142,46.82217,"('0', '1')","('0', '0')",0,0,True
174,16006,16114,90.955826,27.42518,95.23142,46.82217,"('0', '1')","('0', '0')",0,0,True
175,16076,16114,86.76695,56.757637,95.23142,46.82217,"('0', '8')","('0', '0')",0,0,True
177,16200,16219,94.95639,35.74848,92.546906,23.679747,"('0', '0')","('0', '1')",0,0,True
178,16261,16287,90.92061,21.450953,82.414955,24.023502,"('0', '1')","('0', '5')",0,0,True
