,pos_min,pos_max,pass_count,team,player_min,player_max,x,y,x_end,y_end
0,"('0', '0')","('0', '1')",29,0,0,1,89.05600953425393,34.53947974766302,72.61026126268442,28.50732591979453
1,"('0', '0')","('0', '10')",1,0,0,10,89.05600953425393,34.53947974766302,48.05706954722248,36.90929977954142
2,"('0', '0')","('0', '2')",1,0,0,2,89.05600953425393,34.53947974766302,46.364793697295596,35.026771911898045
3,"('0', '0')","('0', '3')",1,0,0,3,89.05600953425393,34.53947974766302,67.17008128835866,18.085239194009638
4,"('0', '0')","('0', '4')",2,0,0,4,89.05600953425393,34.53947974766302,52.008986933411705,18.805889342777387
5,"('0', '0')","('0', '5')",2,0,0,5,89.05600953425393,34.53947974766302,60.7932619756511,34.99226307384262
6,"('0', '0')","('0', '6')",1,0,0,6,89.05600953425393,34.53947974766302,52.115102114049996,55.01289590846491
7,"('0', '0')","('0', '7')",4,0,0,7,89.05600953425393,34.53947974766302,59.893346738907496,37.82995941685394
8,"('0', '0')","('0', '8')",31,0,0,8,89.05600953425393,34.53947974766302,72.48242143651778,44.98004715482295
9,"('0', '0')","('0', '9')",7,0,0,9,89.05600953425393,34.53947974766302,65.1791475450086,53.345449075949126
10,"('0', '1')","('0', '10')",2,0,1,10,72.61026126268442,28.50732591979453,48.05706954722248,36.90929977954142
11,"('0', '1')","('0', '3')",5,0,1,3,72.61026126268442,28.50732591979453,67.17008128835866,18.085239194009638
12,"('0', '1')","('0', '4')",2,0,1,4,72.61026126268442,28.50732591979453,52.008986933411705,18.805889342777387
13,"('0', '1')","('0', '5')",5,0,1,5,72.61026126268442,28.50732591979453,60.7932619756511,34.99226307384262
14,"('0', '1')","('0', '7')",4,0,1,7,72.61026126268442,28.50732591979453,59.893346738907496,37.82995941685394
15,"('0', '1')","('0', '8')",6,0,1,8,72.61026126268442,28.50732591979453,72.48242143651778,44.98004715482295
16,"('0', '10')","('0', '3')",3,0,10,3,48.05706954722248,36.90929977954142,67.17008128835866,18.085239194009638
17,"('0', '10')","('0', '4')",2,0,10,4,48.05706954722248,36.90929977954142,52.008986933411705,18.805889342777387
18,"('0', '10')","('0', '5')",2,0,10,5,48.05706954722248,36.90929977954142,60.7932619756511,34.99226307384262
19,"('0', '10')","('0', '6')",4,0,10,6,48.05706954722248,36.90929977954142,52.115102114049996,55.01289590846491
20,"('0', '10')","('0', '8')",2,0,10,8,48.05706954722248,36.90929977954142,72.48242143651778,44.98004715482295
21,"('0', '10')","('0', '9')",3,0,10,9,48.05706954722248,36.90929977954142,65.1791475450086,53.345449075949126
22,"('0', '2')","('0', '5')",2,0,2,5,46.364793697295596,35.026771911898045,60.7932619756511,34.99226307384262
23,"('0', '2')","('0', '6')",2,0,2,6,46.364793697295596,35.026771911898045,52.115102114049996,55.01289590846491
24,"('0', '2')","('0', '8')",5,0,2,8,46.364793697295596,35.026771911898045,72.48242143651778,44.98004715482295
25,"('0', '3')","('0', '4')",2,0,3,4,67.17008128835866,18.085239194009638,52.008986933411705,18.805889342777387
26,"('0', '3')","('0', '5')",3,0,3,5,67.17008128835866,18.085239194009638,60.7932619756511,34.99226307384262
27,"('0', '3')","('0', '7')",2,0,3,7,67.17008128835866,18.085239194009638,59.893346738907496,37.82995941685394
28,"('0', '4')","('0', '5')",1,0,4,5,52.008986933411705,18.805889342777387,60.7932619756511,34.99226307384262
29,"('0', '4')","('0', '7')",1,0,4,7,52.008986933411705,18.805889342777387,59.893346738907496,37.82995941685394
30,"('0', '4')","('0', '8')",2,0,4,8,52.008986933411705,18.805889342777387,72.48242143651778,44.98004715482295
31,"('0', '5')","('0', '6')",5,0,5,6,60.7932619756511,34.99226307384262,52.115102114049996,55.01289590846491
32,"('0', '5')","('0', '8')",6,0,5,8,60.7932619756511,34.99226307384262,72.48242143651778,44.98004715482295
33,"('0', '5')","('0', '9')",4,0,5,9,60.7932619756511,34.99226307384262,65.1791475450086,53.345449075949126
34,"('0', '6')","('0', '7')",4,0,6,7,52.115102114049996,55.01289590846491,59.893346738907496,37.82995941685394
35,"('0', '6')","('0', '8')",2,0,6,8,52.115102114049996,55.01289590846491,72.48242143651778,44.98004715482295
36,"('0', '6')","('0', '9')",5,0,6,9,52.115102114049996,55.01289590846491,65.1791475450086,53.345449075949126
37,"('0', '7')","('0', '8')",3,0,7,8,59.893346738907496,37.82995941685394,72.48242143651778,44.98004715482295
38,"('0', '7')","('0', '9')",3,0,7,9,59.893346738907496,37.82995941685394,65.1791475450086,53.345449075949126
39,"('0', '8')","('0', '9')",8,0,8,9,72.48242143651778,44.98004715482295,65.1791475450086,53.345449075949126
40,"('1', '0')","('1', '1')",5,1,0,1,51.17401398533958,34.13267034976874,53.29926709127409,38.51024626471743
41,"('1', '0')","('1', '10')",3,1,0,10,51.17401398533958,34.13267034976874,22.196148001928943,36.760460079058916
42,"('1', '0')","('1', '2')",2,1,0,2,51.17401398533958,34.13267034976874,47.08156178056939,18.786049955039122
43,"('1', '0')","('1', '4')",4,1,0,4,51.17401398533958,34.13267034976874,64.96040602276808,34.084019094992804
44,"('1', '0')","('1', '5')",5,1,0,5,51.17401398533958,34.13267034976874,47.79762572010255,52.57817228038842
45,"('1', '0')","('1', '7')",2,1,0,7,51.17401398533958,34.13267034976874,69.37587668979879,38.25995875947929
46,"('1', '0')","('1', '8')",5,1,0,8,51.17401398533958,34.13267034976874,59.47411288294061,22.197839567071483
